"k","cutoff","error"
"20_NN","0.1",0.146660019940179
"21_NN","0.1",0.16271186440678
"22_NN","0.1",0.186041874376869
"23_NN","0.1",0.213559322033898
"24_NN","0.1",0.250947158524427
"25_NN","0.1",0.278265204386839
"26_NN","0.1",0.311266201395813
"27_NN","0.1",0.350548354935194
"28_NN","0.1",0.381455633100698
"29_NN","0.1",0.0698903290129611
"30_NN","0.1",0.0708873379860419
"31_NN","0.1",0.0778664007976072
"32_NN","0.1",0.0994017946161515
"33_NN","0.1",0.107676969092722
"34_NN","0.1",0.120937188434696
"35_NN","0.1",0.142372881355932
"36_NN","0.1",0.156331006979063
"37_NN","0.1",0.172881355932203
"38_NN","0.1",0.199202392821535
"39_NN","0.1",0.0284147557328016
"20_NN","0.15",0.0523429710867398
"21_NN","0.15",0.0408773678963111
"22_NN","0.15",0.0425722831505484
"23_NN","0.15",0.0397806580259222
"24_NN","0.15",0.0342971086739781
"25_NN","0.15",0.0446660019940179
"26_NN","0.15",0.0520438683948156
"27_NN","0.15",0.0419740777666999
"28_NN","0.15",0.030309072781655
"29_NN","0.15",0.0287138584247258
"30_NN","0.15",0.0172482552342971
"31_NN","0.15",0.0127617148554337
"32_NN","0.15",0.0113659022931206
"33_NN","0.15",0.0261216350947159
"34_NN","0.15",0.0230309072781655
"35_NN","0.15",0.021036889332004
"36_NN","0.15",0.0239282153539382
"37_NN","0.15",0.0186440677966102
"38_NN","0.15",0
"39_NN","0.15",0.0441674975074776
"20_NN","0.2",0.116251246261216
"21_NN","0.2",0.0944167497507477
"22_NN","0.2",0.0859421734795613
"23_NN","0.2",0.0766699900299103
"24_NN","0.2",0.140977068793619
"25_NN","0.2",0.119242273180459
"26_NN","0.2",0.100199401794616
"27_NN","0.2",0.0808574277168495
"28_NN","0.2",0.0743768693918245
"29_NN","0.2",0.139182452642074
"30_NN","0.2",0.128713858424726
"31_NN","0.2",0.113559322033898
"32_NN","0.2",0.0996011964107677
"33_NN","0.2",0.0966101694915254
"34_NN","0.2",0.150348953140578
"35_NN","0.2",0.140677966101695
"36_NN","0.2",0.124426719840479
"37_NN","0.2",0.110468594217348
"38_NN","0.2",0.0984047856430708
"39_NN","0.2",0.140279162512463
"20_NN","0.25",0.206580259222333
"21_NN","0.25",0.18654037886341
"22_NN","0.25",0.173280159521436
"23_NN","0.25",0.230009970089731
"24_NN","0.25",0.216849451645065
"25_NN","0.25",0.209670987038883
"26_NN","0.25",0.182452642073779
"27_NN","0.25",0.248953140578265
"28_NN","0.25",0.231006979062812
"29_NN","0.25",0.215154536390828
"30_NN","0.25",0.201096709870389
"31_NN","0.25",0.258723828514457
"32_NN","0.25",0.238683948155533
"33_NN","0.25",0.224127617148554
"34_NN","0.25",0.205782652043868
"35_NN","0.25",0.254835493519442
"36_NN","0.25",0.246759720837488
"37_NN","0.25",0.230109670987039
"38_NN","0.25",0.214755732801595
"39_NN","0.25",0.267497507477567
"20_NN","0.3",0.303389830508475
"21_NN","0.3",0.283150548354935
"22_NN","0.3",0.256430707876371
"23_NN","0.3",0.326321036889332
"24_NN","0.3",0.30259222333001
"25_NN","0.3",0.287736789631107
"26_NN","0.3",0.33160518444666
"27_NN","0.3",0.311066799601196
"28_NN","0.3",0.299102691924227
"29_NN","0.3",0.334795613160518
"30_NN","0.3",0.3259222333001
"31_NN","0.3",0.315353938185444
"32_NN","0.3",0.302691924227318
"33_NN","0.3",0.345862412761715
"34_NN","0.3",0.329810568295115
"35_NN","0.3",0.312163509471585
"36_NN","0.3",0.353240279162512
"37_NN","0.3",0.34506480558325
